Rank	Guild War Points
0	1,000,000
1	900,000
2	800,000
3	730,000
4	660,000
5	610,000
6	560,000
7	510,000
8	460,000
9	410,000
10	380,000
11	350,000
12	320,000
13	290,000
14	260,000
15	250,000
16	240,000
17	230,000
18	220,000
19	210,000
20	205,000
21	200,000
22	195,000
23	190,000
24	185,000
25	180,000
26	175,000
27	170,000
28	165,000
29	160,000
30	157,000
31	154,000
32	151,000
33	148,000
34	145,000
35	142,000
36	139,000
37	136,000
38	133,000
39	130,000
40	128,000
41	126,000
42	124,000
43	122,000
44	120,000
45	118,000
46	116,000
47	114,000
48	112,000
49	110,000
50	109,000
51	108,000
52	107,000
53	106,000
54	105,000
55	104,000
56	103,000
57	102,000
58	101,000
59	100,000
60	99,000
61	98,000
62	97,000
63	96,000
64	95,000
65	94,000
66	93,000
67	92,000
68	91,000
69	90,000
70	89,000
71	88,000
72	87,000
73	86,000
74	85,000
75	84,000
76	83,000
77	82,000
78	81,000
79	80,000
80	79,000
81	78,000
82	77,000
83	76,000
84	75,000
85	74,000
86	73,000
87	72,000
88	71,000
89	70,000
90	69,000
91	68,000
92	67,000
93	66,000
94	65,000
95	64,000
96	63,000
97	62,000
98	61,000
99	60,300
100	59,600
101	58,900
102	58,200
103	57,500
104	56,800
105	56,100
106	55,400
107	54,700
108	54,000
109	53,300
110	52,600
111	51,900
112	51,200
113	50,500
114	49,800
115	49,100
116	48,400
117	47,700
118	47,000
119	46,300
120	45,600
121	44,900
122	44,200
123	43,500
124	42,800
125	42,100
126	41,400
127	40,700
128	40,000
129	39,300
130	38,600
131	37,900
132	37,200
133	36,500
134	35,800
135	35,100
136	34,400
137	33,700
138	33,000
139	32,300
140	31,600
141	30,900
142	30,200
143	29,500
144	28,800
145	28,100
146	27,400
147	26,700
148	26,000
149	25,300
150	24,600
